"b","f","n","four_means_ce","four_means_pe","three_means_ce","three_means_pe","two_means_ce","two_means_pe",SCT_ce,"SCT_pe"
34,193,20,0.0,5.399567889980972E-4,-4.9710145,-14.371129989624023,-4.877617,-14.384809494018555,-4.1706924,-14.508819580078125
10,87,8,0.0,0.0,-10.143104,-12.40169906616211,-10.062069,-12.468792915344238,-8.810345,-13.078710556030273
18,203,16,0.0,0.0,-9.735441,-12.937080383300781,-9.673877,-12.96627426147461,-9.232945,-13.346872329711914
40,228,6,0.0,0.0,1.0,-16.78304672241211,1.0,-16.78304672241211,1.0,-16.78304672241211
43,149,7,0.0,0.0,1.0,-15.028494834899902,1.0,-15.028494834899902,1.0,-15.028494834899902
12,157,8,0.0,0.0,-8.940141,-14.996442794799805,-8.838028,-15.03221321105957,-6.607394,-15.65296459197998
30,81,9,-0.041666668,0.008237232454121113,0.8680556,-15.460553169250488,0.8802083,-15.461833953857422,0.9305556,-15.467143058776855
4,173,7,0.0,0.0,-3.2786884,-8.260760307312012,-3.4131148,-8.303799629211426,-7.1491804,-9.442692756652832
17,99,24,-1.1484503,-0.009688581340014935,-8.19739,-10.840311050415039,-8.672105,-11.042387962341309,-8.755301,-11.0972318649292
45,237,7,0.0,0.0,1.0,-12.999066352844238,1.0,-12.999066352844238,1.0,-12.999066352844238
22,155,13,0.0,0.0,-5.641791,-13.64327621459961,-5.5107794,-13.665345191955566,-4.3300166,-13.857414245605469
3,163,9,0.0,0.0,-0.91268533,-7.1791276931762695,-1.0164745,-7.229227542877197,-3.5551894,-8.1228609085083
24,175,10,0.0,0.0,-0.7409241,-13.797070503234863,-0.7079208,-13.800898551940918,-0.13531353,-13.864158630371094
31,167,13,0.0,0.0,-0.678511,-14.531424522399902,-0.6311337,-14.536836624145508,-0.21319798,-14.583274841308594
43,212,11,0.0,0.0,0.9875223,-15.868415832519531,0.9875223,-15.868415832519531,0.99286985,-15.868978500366211
45,110,18,-0.9485904,0.007131102494895458,-0.07296849,-15.334979057312012,0.07628524,-15.352349281311035,0.12769486,-15.358201026916504
48,112,16,-0.45882353,0.04634707421064377,0.73109245,-14.892446517944336,0.7781513,-14.89739990234375,0.8,-14.899699211120605
1,151,18,0.0,3.6114119575358927E-4,0.12477718,-7.368183612823486,0.07486631,-7.426688194274902,-0.33868092,-7.979053974151611
45,234,7,0.0,0.0,1.0,-14.786704063415527,1.0,-14.786704063415527,1.0,-14.786704063415527
3,85,5,0.0,0.0,-2.0557492,-8.893856048583984,-2.3432057,-9.00338363647461,-8.052265,-10.914514541625977
17,111,17,-0.027874565,0.012658228166401386,-10.209059,-10.968594551086426,-10.259582,-11.024835586547852,-10.243902,-11.289536476135254
13,128,10,0.0,0.0,-9.440824,-12.021831512451172,-9.385935,-12.054169654846191,-8.116638,-12.46667766571045
2,181,18,0.0,0.0,0.02443281,-8.31239128112793,-0.038394414,-8.375218391418457,-0.6788831,-9.006205558776855
11,145,23,-0.040268455,0.008345170877873898,-4.692953,-9.852450370788574,-4.8775167,-9.913707733154297,-5.8691278,-10.254616737365723
38,141,13,-0.0015772871,3.5329448292031884E-4,0.6356467,-14.856915473937988,0.64984226,-14.858505249023438,0.76340693,-14.871753692626953
16,65,19,-4.224832,-0.4250142574310303,-9.458054,-12.652347564697266,-9.686241,-12.832921028137207,-9.7348995,-12.86884593963623
10,139,21,-0.009852217,0.005891263950616121,-4.458128,-9.259552001953125,-4.623974,-9.315266609191895,-5.766831,-9.682376861572266
12,61,11,-0.29850745,0.02092473767697811,-9.83748,-11.753796577453613,-9.794361,-11.908707618713379,-9.477612,-12.224603652954102
24,80,16,-1.0,0.017975911498069763,-6.8355265,-13.981484413146973,-6.256579,-14.128887176513672,-6.087171,-14.161603927612305
28,93,5,0.0,0.0,1.0,-14.501205444335938,1.0,-14.501205444335938,1.0,-14.501205444335938
29,186,21,-0.0016583748,6.810829509049654E-4,-7.9668326,-12.934104919433594,-7.902156,-12.953004837036133,-7.2686567,-13.123106002807617
2,189,9,0.0,0.0,-0.112280704,-7.304977893829346,-0.15964912,-7.3506646156311035,-1.931579,-8.439481735229492
28,146,24,-0.1358885,0.020522715523838997,-9.923345,-12.783897399902344,-9.843205,-12.830906867980957,-9.494774,-13.002104759216309
31,130,11,0.0,0.0,0.4707904,-14.020599365234375,0.49656358,-14.023447036743164,0.6958763,-14.043041229248047
31,97,16,-0.4182444,0.04200836643576622,-3.1549053,-13.603179931640625,-2.7521515,-13.654727935791016,-2.4406197,-13.693388938903809
38,173,10,0.0,0.0,0.9767025,-15.426980972290039,0.97849464,-15.427163124084473,0.983871,-15.42771053314209
3,227,14,0.0,0.0,-0.512069,-7.434998512268066,-0.57931036,-7.474528789520264,-1.9793104,-8.14091968536377
16,205,14,0.0,0.0,-9.951473,-11.649194717407227,-9.935875,-11.675155639648438,-9.421144,-12.04387092590332
10,131,22,-0.039933443,0.01293103490024805,-4.1930118,-9.396379470825195,-4.422629,-9.467758178710938,-5.4475875,-9.799138069152832
8,74,13,-0.114754096,0.020943330600857735,-6.7468123,-10.217704772949219,-7.100182,-10.336677551269531,-8.797814,-10.843893051147461
25,110,7,0.0,0.0,0.93532336,-15.488269805908203,0.93698174,-15.488452911376953,0.9701493,-15.492301940917969
5,54,11,-0.24956971,0.03183941915631294,-3.4302926,-9.083405494689941,-4.1583476,-9.341927528381348,-5.7607574,-9.84201431274414
11,100,13,-0.011744967,0.0015306122368201613,-9.127517,-10.973979949951172,-9.2449665,-11.04268741607666,-9.760067,-11.493027687072754
39,87,15,-1.612628,-0.014514024369418621,0.17918089,-13.59719467163086,0.30546075,-13.609588623046875,0.32935154,-13.611871719360352
39,166,21,-0.0198915,0.004666435997933149,-4.066908,-13.989457130432129,-3.9692585,-14.002592086791992,-3.3490055,-14.082785606384277
46,124,19,-0.4198988,0.031424958258867264,-0.3642496,-15.103666305541992,-0.19224283,-15.122448921203613,-0.1079258,-15.131840705871582
17,123,23,-0.18927974,0.038062795996665955,-8.529313,-9.22970962524414,-8.703518,-9.298578262329102,-9.102178,-9.486078262329102
3,70,11,-0.030909091,0.00561995105817914,-0.8127273,-8.091148376464844,-1.0181818,-8.220232009887695,-2.770909,-9.000702857971191
33,108,11,-0.009884679,0.0011347057297825813,0.7594728,-13.565407752990723,0.785832,-13.568001747131348,0.85667217,-13.574971199035645
39,82,23,-6.622549,-0.6767742037773132,-4.511438,-12.854677200317383,-4.2843137,-12.891613006591797,-4.254902,-12.89548397064209
35,95,8,-0.0016835016,0.001260352903045714,0.996633,-15.204176902770996,0.996633,-15.204176902770996,0.996633,-15.204176902770996
16,67,13,-0.6923077,0.017796609550714493,-9.828671,-12.38796615600586,-9.372377,-12.597796440124512,-9.097902,-12.697796821594238
38,161,21,-0.026936026,0.007461258675903082,-4.090909,-15.531471252441406,-3.993266,-15.548689842224121,-3.4377105,-15.634780883789062
38,217,12,0.0,0.0,0.81785715,-16.752172470092773,0.8214286,-16.752567291259766,0.89285713,-16.760465621948242
4,44,15,-3.2286212,-0.12399453669786453,-1.8481675,-7.365154266357422,-2.5898778,-7.625284671783447,-2.7364748,-7.675216197967529
16,169,8,0.0,0.0,-3.7889273,-14.759397506713867,-3.7058823,-14.771926879882812,-1.9775087,-15.000726699829102
22,62,18,-5.5135593,-0.4903183579444885,-8.908475,-12.142107009887695,-8.60678,-12.253363609313965,-8.544067,-12.271906852722168
46,123,15,-0.0952381,0.01572897844016552,0.78911567,-17.123411178588867,0.8044218,-17.125226974487305,0.8452381,-17.130268096923828
12,223,14,0.0,0.0,-9.964093,-12.65005874633789,-10.037702,-12.69501781463623,-10.723519,-13.323472023010254
20,124,17,-0.012882448,0.006971924100071192,-9.267311,-13.703222274780273,-9.194847,-13.753156661987305,-8.671497,-14.057660102844238
46,196,11,0.0,0.0,1.0,-14.870217323303223,1.0,-14.870217323303223,1.0,-14.870217323303223
47,133,25,-1.2429577,-0.007203313522040844,-3.3926055,-14.692418098449707,-3.028169,-14.740320205688477,-2.9471831,-14.75274658203125
35,106,21,-1.1446345,0.02720312774181366,-4.755832,-12.90812873840332,-4.339036,-12.973448753356934,-4.216174,-12.993158340454102
30,218,23,0.0,1.9872814300470054E-4,-9.051635,-15.015898704528809,-8.996557,-15.04252815246582,-8.397591,-15.259538650512695
15,212,24,0.0,5.014206981286407E-4,-6.784091,-9.958047866821289,-6.878247,-9.997325897216797,-7.7418833,-10.309209823608398
48,185,8,0.0,0.0,1.0,-14.554787635803223,1.0,-14.554787635803223,1.0,-14.554787635803223
15,201,10,0.0,0.0,-7.5164475,-12.228828430175781,-7.449013,-12.247147560119629,-5.9407897,-12.574481964111328
27,192,24,-0.0017035775,8.10241443105042E-4,-9.792164,-11.58110523223877,-9.758092,-11.606546401977539,-9.427598,-11.79079532623291
44,169,12,0.0,0.0,0.9817881,-13.514354705810547,0.98344374,-13.51451587677002,0.99006623,-13.515161514282227
20,130,6,0.0,0.0,0.8082192,-13.587471961975098,0.8150685,-13.588120460510254,0.9417808,-13.600130081176758
8,204,8,0.0,0.0,-9.650085,-11.765957832336426,-9.725557,-11.806544303894043,-9.9759865,-12.696227073669434
45,181,13,0.0,0.0,0.9191919,-14.292757987976074,0.9191919,-14.292757987976074,0.95117843,-14.295988082885742
11,218,8,0.0,0.0,-8.883387,-12.75599193572998,-8.821086,-12.779784202575684,-7.1661344,-13.361757278442383
20,100,18,-0.24625623,0.03768691048026085,-9.600665,-10.812175750732422,-9.537437,-10.881446838378906,-9.227953,-11.04699420928955
3,90,9,0.0,0.0,-0.73466,-8.459046363830566,-0.88391376,-8.562795639038086,-3.5936983,-9.699854850769043
37,135,8,0.0,0.0,1.0,-15.417366027832031,1.0,-15.417366027832031,1.0,-15.417366027832031
22,177,14,0.0,0.0,-6.744186,-14.126605033874512,-6.646179,-14.151564598083496,-5.3654485,-14.395369529724121
42,190,17,0.0,0.0,-0.19333333,-14.283219337463379,-0.16833334,-14.285959243774414,0.09166667,-14.314212799072266
11,79,21,-1.2943038,0.03244656324386597,-5.498418,-8.721512794494629,-6.112342,-8.923419952392578,-6.281646,-8.982162475585938
20,82,20,-1.965812,-0.06936416029930115,-10.123077,-12.618316650390625,-10.041026,-12.79461669921875,-10.049573,-12.835440635681152
36,155,9,0.0,0.0,0.9878893,-16.339691162109375,0.9878893,-16.339691162109375,0.9965398,-16.340654373168945
44,175,24,-0.06360424,0.012380323372781277,-4.0441694,-13.308847427368164,-3.9452298,-13.323208808898926,-3.3992932,-13.39171314239502
19,152,18,0.0016393443,0.001010101055726409,-9.62459,-11.77104377746582,-9.608196,-11.804208755493164,-9.459017,-12.089225769042969
28,102,18,-0.4524207,0.02634926326572895,-6.439065,-14.27057933807373,-5.911519,-14.378702163696289,-5.669449,-14.431401252746582
5,89,17,-0.11111111,0.01977793127298355,-1.6560847,-8.465475082397461,-1.9223986,-8.583969116210938,-3.0335097,-9.002602577209473
6,149,11,0.0,0.0,-4.0064206,-9.473170280456543,-4.1813803,-9.533971786499023,-6.695024,-10.37108039855957
37,176,15,0.0,0.0,-0.28767124,-13.862878799438477,-0.255137,-13.866044998168945,0.07876712,-13.901033401489258
16,96,12,-0.006472492,0.001688872231170535,-8.744336,-13.989303588867188,-8.618123,-14.045974731445312,-7.5355988,-14.422030448913574
31,124,12,-0.0016474464,7.348888320848346E-4,0.02306425,-15.423663139343262,0.052718285,-15.427154541015625,0.36243823,-15.462796211242676
34,137,24,-0.30243903,0.035545408725738525,-7.1886177,-12.49437427520752,-6.9447155,-12.54916000366211,-6.5609756,-12.627425193786621
44,144,18,-0.050089445,0.0110602593049407,-0.41323793,-16.007436752319336,-0.35957065,-16.013538360595703,-0.12343471,-16.04023551940918
22,228,11,0.0,0.0,-3.2996516,-15.480347633361816,-3.2317073,-15.490551948547363,-2.020906,-15.653817176818848
22,167,12,0.0,0.0,-4.6626506,-14.984212875366211,-4.566265,-15.0,-3.2168674,-15.20449447631836
5,68,15,-0.32088286,0.027821626514196396,-1.8726655,-9.886938095092773,-3.0611205,-10.380623817443848,-3.5348048,-10.56274700164795
18,210,21,0.0,1.6212710761465132E-4,-9.118699,-10.60943603515625,-9.154471,-10.640726089477539,-9.435772,-10.936446189880371
49,142,7,0.0,0.0,1.0,-14.400410652160645,1.0,-14.400410652160645,1.0,-14.400410652160645
7,137,15,0.0,0.0,-3.7475083,-9.753225326538086,-3.9202657,-9.820280075073242,-5.7259135,-10.43994140625
2,91,14,-0.01650165,0.00512295076623559,0.013201321,-7.308230876922607,-0.06765676,-7.4052252769470215,-0.8729373,-8.003927230834961
24,80,9,-0.018835617,0.002942618913948536,0.047945205,-13.61974811553955,0.12671232,-13.627594947814941,0.42979452,-13.657675743103027
28,193,14,0.0,0.0,-3.0229683,-13.904193878173828,-2.9328623,-13.914933204650879,-2.0282686,-14.022672653198242
