,b,f,n,snr,variable,value,Error Type,Segmentation Method,Signal to Noise Ratio,Error Rate
0,9,170,6,26.8333333333,four_means_ce,0.0,Object Count Error,four_means,26.8333333333,0.0
1,36,138,19,5.36842105263,four_means_ce,-0.060344826,Object Count Error,four_means,5.36842105263,-0.060344826
2,24,74,16,3.125,four_means_ce,-1.8269551,Object Count Error,four_means,3.125,-1.8269551
3,38,165,15,8.46666666667,four_means_ce,0.0,Object Count Error,four_means,8.46666666667,0.0
4,26,217,15,12.7333333333,four_means_ce,0.0,Object Count Error,four_means,12.7333333333,0.0
5,5,105,15,6.66666666667,four_means_ce,-0.0017605633,Object Count Error,four_means,6.66666666667,-0.0017605633
6,13,129,19,6.10526315789,four_means_ce,-0.019097222,Object Count Error,four_means,6.10526315789,-0.019097222
7,3,86,25,3.32,four_means_ce,-1.2852459,Object Count Error,four_means,3.32,-1.2852459
8,48,219,8,21.375,four_means_ce,0.0,Object Count Error,four_means,21.375,0.0
9,9,192,21,8.71428571429,four_means_ce,0.0,Object Count Error,four_means,8.71428571429,0.0
10,15,68,20,2.65,four_means_ce,-3.13267,Object Count Error,four_means,2.65,-3.13267
11,28,137,13,8.38461538462,four_means_ce,-0.0016474464,Object Count Error,four_means,8.38461538462,-0.0016474464
12,18,197,24,7.45833333333,four_means_ce,0.0,Object Count Error,four_means,7.45833333333,0.0
13,37,232,6,32.5,four_means_ce,0.0,Object Count Error,four_means,32.5,0.0
14,49,168,17,7.0,four_means_ce,-0.0035650623,Object Count Error,four_means,7.0,-0.0035650623
15,26,188,20,8.1,four_means_ce,0.0016583748,Object Count Error,four_means,8.1,0.0016583748
16,38,146,15,7.2,four_means_ce,-0.0033613446,Object Count Error,four_means,7.2,-0.0033613446
17,7,166,7,22.7142857143,four_means_ce,0.0,Object Count Error,four_means,22.7142857143,0.0
18,9,185,20,8.8,four_means_ce,0.0,Object Count Error,four_means,8.8,0.0
19,13,229,20,10.8,four_means_ce,0.0,Object Count Error,four_means,10.8,0.0
20,7,101,21,4.47619047619,four_means_ce,-0.22299652,Object Count Error,four_means,4.47619047619,-0.22299652
21,8,137,5,25.8,four_means_ce,0.0,Object Count Error,four_means,25.8,0.0
22,35,140,12,8.75,four_means_ce,0.0,Object Count Error,four_means,8.75,0.0
23,26,128,7,14.5714285714,four_means_ce,0.0,Object Count Error,four_means,14.5714285714,0.0
24,42,173,8,16.375,four_means_ce,0.0,Object Count Error,four_means,16.375,0.0
25,27,218,10,19.1,four_means_ce,0.0,Object Count Error,four_means,19.1,0.0
26,1,204,24,8.45833333333,four_means_ce,0.0,Object Count Error,four_means,8.45833333333,0.0
27,3,164,13,12.3846153846,four_means_ce,0.0,Object Count Error,four_means,12.3846153846,0.0
28,25,124,11,9.0,four_means_ce,0.0,Object Count Error,four_means,9.0,0.0
29,30,129,23,4.30434782609,four_means_ce,-0.36332768,Object Count Error,four_means,4.30434782609,-0.36332768
30,4,174,18,9.44444444444,four_means_ce,0.0,Object Count Error,four_means,9.44444444444,0.0
